IRank   Geography                    Urban Area                              Estimate        Miles    Kilometers      Mile       Kilometer    (See Note)
36     Japan                        Nagoya                                  10,035,000       1,500       3,885         6,700        2,600      C:B
37     India                        Chennai, TN                              9,985,000         375        971         26,600       10,300      A:B
38     Colombia                     Bogota                                   9,520,000         217        562         43,900       16,900      C:B
39     United States                Chicago, IL-IN-WI                        9,185,000       2,647       6,856         3,400        1,300      N:N
40     South Africa                 Johannesburg-East Rand                   8,655,000       1,000       2,590         8,700        3,300      C:B
41     China: Taiwan                Taipei                                   8,500,000         440       1,140        19,300        7,500      C:B
42     China                        Dongguan, GD                             8,260,000         625       1,619        13,200        5,100      L:B
43     India                        Hyderabad, TL                            7,750,000         475       1,230        16,300        6,300      A:B
44     China                        Wuhan, HUB                               7,620,000         510       1,321        14,900        5,800      L:B
45     China                        Hangzhou, ZJ                             7,605,000         490       1,269        15,500        6,000      C:B
46     Viet Nam                     Hanoi                                    7,445,000         335        868         22,200        8,600      C:B
47     China                        Chongqing, CQ                            7,440,000         375        971         19,800        7,700      C:B
48     Nigeria                      Onitsha                                  7,425,000         759       1,965         9,800        3,800     W:W
49     India                        Ahmadabad, GJ                            7,410,000         135        350         54,900       21,200      A:B
50     Malaysia                     Kuala Lumpur                             7,365,000         820       2,124         9,000        3,500      C:B
51     China: Hong Kong SAR         Hong Kong                                7,280,000         110        285         66,200       25,600      C:B
52     China                        Quanzhou, FJ                             7,020,000         635       1,645        11,100        4,300      C:B
53     Angola                       Luanda                                   6,955,000         380        984         18,300        7,100      C:B
54     Iraq                         Baghdad                                  6,790,000         260        673         26,100       10,100      D:B
55     Germany                      Essen-Dusseldorf                         6,675,000       1,025       2,655         6,500        2,500      C:B
56     Canada                       Toronto, ON                              6,550,000         883       2,287         7,400        2,900      N:N
57     China                        Nanjing, JS                              6,380,000         515       1,334        12,400        4,800      L:B
58     United States                Dallas-Fort Worth, TX                    6,280,000       1,998       5,175         2,800        1,200      N:N
59     Chile                        Santiago                                 6,265,000         380        984         16,500        6,400      C:B
60     Spain                        Madrid                                   6,240,000         510       1,321        12,200        4,700      C:B
61     China                        Shenyang, LN                             6,200,000         390       1,010        15,900        6,100      C:B
62    China                        Xi'an, SAA                                6,150,000        360         932        17,100        6,600      C:B
63    United States                Houston, TX                               6,005,000      1,864       4,828         2,800        1,200      N:N
64    China                        Qingdao, SD                               5,970,000        615       1,593         9,700        3,700      C:B
65    United States                San Francisco-San Jose, CA                5,955,000      1,080       2,797         5,400        2,100      N:N
66    Saudi Arabia                 Riyadh                                    5,845,000        640       1,658         9,100        3,500      C:B
67    United States                Miami, FL                                 5,820,000      1,239       3,209         4,400        1,700      A:A
68    India                        Pune, MH                                  5,785,000        185         479        31,300       12,100      A:B
69    Indonesia                    Bandung                                   5,780,000        180         466        32,100       12,400      C:B
70    China                        Zhengzhou, HEN                            5,755,000        500       1,295        11,500        4,400      C:B
71    Singapore                    Singapore                                 5,725,000        200         518        28,600       11,100      A:B
72    India                        Surat, GJ                                 5,685,000         90         233        63,200       24,400      A:B
73    United States                Philadelphia, PA-NJ-DE-MD                 5,595,000      1,981       5,131         2,700        1,100      A:A
74    China                        Suzhou, JS                                5,380,000        490       1,269        11,000        4,200      L:B
75    Myanmar                      Yangon                                    5,320,000        220         570        24,200        9,300      C:B
76    Italy                        Milan                                     5,270,000        730       1,891         7,200        2,800      C:B
77    Sudan                        Khartoum                                  5,205,000        375         971        13,900        5,400      C:B
78    Russia                       St. Petersburg                            5,140,000        520       1,347         9,900        3,800      C:B
79    United States                Atlanta, GA                               5,120,000      2,645       6,851         1,700         700       A:A
80    United States                Washington, DC-VA-MD                      4,950,000      1,322       3,424         3,500        1,300      A:A
81    Indonesia                    Surabaya                                  4,930,000        260         673        19,000        7,300      C:B
81    Kenya                        Nairobi                                   4,930,000        215         557        22,900        8,900      C:B
83    China                        Harbin, HL                                4,915,000        220         570        22,300        8,600      C:B
84    Cote d'Ivoire                Abidjan                                   4,820,000        145         376        33,200       12,800      W:B
85    Egypt                        Alexandria                                4,775,000        113         293        42,300       16,300      C:B
86    Spain                        Barcelona                                 4,740,000        415       1,075        11,400        4,400      C:B
87    China                        Xiamen, FJ                                4,715,000        225         583        21,000        8,100      C:B
88    Mexico                       Guadalajara                               4,675,000        290         751        16,100        6,200      C:B
89    Turkey                       Ankara                                    4,640,000        255         660        18,200        7,000      C:B
90    Brazil                       Belo Horizonte                            4,560,000        420       1,088        10,900        4,200      C:B
91    United States                Boston, MA-NH-RI                          4,490,000      2,056       5,325         2,100         800       N:N
92    Kuwait                       Kuwait                                    4,465,000        275         712        16,200        6,300      C:B
93    Tanzania                     Dar es Salaam                             4,460,000        230         596        19,400        7,500      C:B
94    China                        Dalian, LN                                4,300,000        300         777        14,300        5,500      C:B
95    United States                Phoenix, AZ                               4,295,000      1,245       3,225         3,100        1,300      N:N
96    Mexico                       Monterrey                                 4,155,000        345         894        12,000        4,600      C:B
97    Ghana                        Accra                                     4,095,000        375         971        10,900        4,200      W:B
98    Germany                      Berlin                                    4,085,000        520       1,347         7,900        3,000      C:B
99    China                        Fuzhou, FJ                                4,080,000        170         440        24,000        9,300      C:B
100    Australia                    Sydney, NSW                               4,070,000        786       2,037         5,000        1,900      A:A
101    Indonesia                    Medan                                     3,990,000        185         479        21,600        8,300      C:B
102    Australia                    Melbourne, VIC                            3,955,000        982       2,543         3,800        1,500      A:A
103    Italy                        Rome                                      3,930,000        430       1,114         9,100        3,500      C:B
104    China                        Ningbo, ZJ                                3,895,000        285         738        13,700        5,300      C:B
105    China                        Jinan, SD                                 3,890,000        305         790        12,800        4,900      C:B
106    South Korea                  Busan                                     3,885,000        155         401        25,100        9,700      C:B
107    South Africa                 Cape Town                                 3,865,000        315         816        12,300        4,700      C:B
108    Colombia                     Medellín                                  3,845,000         93         241        41,300       16,000      C:B
109    China                        Changsha, HUN                             3,775,000        255         660        14,800        5,700      C:B
109    China                        Taiyuan, SAX                              3,775,000        225         583        16,800        6,500      C:B
109    Saudi Arabia                 Jiddah                                    3,775,000        325         842        11,600        4,500      C:B
112    China                        Hefei, AH                                 3,730,000        280         725        13,300        5,100      C:B
112    China                        Kunming, YN                               3,730,000        275         712        13,600        5,200      C:B
114    Italy                        Naples                                    3,700,000        395       1,023         9,400        3,600      C:B
115    Nigeria                      Kano                                      3,680,000         97         251        37,900       14,600      W:B
116    Algeria                      Algiers                                   3,675,000        170         440        21,600        8,300      C:B
116    Pakistan                     Faisalabad                                3,675,000         70         181        52,500       20,300      D:B
118    China                        Wuxi, JS                                  3,670,000        285         738        12,900        5,000      C:B
119    Syria                        Aleppo                                    3,665,000        100         259        36,700       14,200      D:B
120    United States                Detroit, MI                               3,660,000      1,337       3,463         2,800        1,100      A:A
121    Afghanistan                  Kabul                                     3,650,000        100         259        36,500       14,100      C:B
122    Dominican Republic           Santo Domingo                             3,635,000        165         427        22,000        8,500      C:B
123    United Arab Emirates         Dubai                                     3,630,000        580       1,502         6,300        2,400      L:B
124    Canada                       Montréal, QC                              3,570,000        597       1,546         5,700        2,200      A:A
125    China                        Shijiazhuang, HEB                         3,535,000        240         622        14,700        5,700      C:B
126    China                        Changzhou, JS                             3,515,000        320         829        11,000        4,200      C:B
127    India                        Jaipur, RJ                                3,485,000        160         414        21,800        8,400      C:B
128    Greece                       Athens                                    3,480,000        225         583        15,500        6,000      C:B
129    United States                Seattle, WA                               3,475,000      1,154       2,989         2,800        1,100      N:A
130    Ethiopia                     Addis Ababa                               3,465,000        183         474        18,900        7,300      C:B
131    Brazil                       Fortaleza                                 3,460,000        200         518        17,300        6,700      C:B
132    South Africa                 Durban                                   3,450,000        410       1,062          8,400       3,200      C:B
133    Brazil                       Porto Alegre                             3,435,000        310         803         11,100       4,300      C:B
133    China                        Changchun, JL                            3,435,000        205         531         16,800       6,500      C:B
135    Brazil                       Recife                                   3,375,000        160         414         21,100       8,100      C:B
136    Iran                         Mashhad                                  3,370,000        115         298         29,300      11,300      C:B
137    China                        Urumqi, XJ                               3,310,000        190         492         17,400       6,700      C:B
138    China                        Wenzhou, ZJ                              3,280,000        125         324         26,200      10,100      C:B
139    India                        Lucknow, UP                              3,260,000        125         324         26,100      10,100      A:B
140    Bangladesh                   Chittagong                               3,250,000          43        111         75,600      29,200      C:B
141    Morocco                      Casablanca                               3,240,000        105         272         30,900      11,900      C:B
142    Brazil                       Salvador                                 3,230,000        135         350         23,900       9,200      C:B
143    China                        Zhangjiaggang (Suzhou), JS               3,225,000        260         673         12,400       4,800      C:B
144    Cameroon                     Yaounde                                  3,205,000          89        231         36,000      13,900      D:B
144    China                        Zhongshan, GD                            3,205,000        265         686         12,100       4,700      C:B
146    Senegal                      Dakar                                    3,200,000          75        194         42,700      16,500      W:B
147    Turkey                       Izmir                                    3,170,000        115         298         27,600      10,600      C:B
148    Brazil                       Curitiba                                 3,160,000        325         842          9,700       3,800      C:B
149    Yemen                        Sana                                     3,120,000          86        223         36,300      14,000      D:B
150    Mali                         Bamako                                   3,110,000        120         311         25,900      10,000      W:B
150    United States                San Diego, CA                            3,110,000        732       1,896          4,000       1,600      A:A
152    India                        Kanpur, UP                               3,065,000          80        207         38,300      14,800      A:B
153    Cameroon                     Douala                                   3,060,000          79        205         38,700      15,000      D:B
154    China                        Guiyang, GZ                              3,030,000        125         324         24,200       9,400      C:B
154    Israel                       Tel Aviv                                 3,030,000        185         479         16,400       6,300      C:B
154    South Africa                 Pretoria                                 3,030,000        475       1,230          6,400       2,500      C:B
157    Pakistan                     Hyderabad                                2,990,000          28         73       106,800       41,200      C:B
158    Ghana                        Kumasi                                   2,965,000        130         337         22,800       8,800      W:B
159    Nigeria                      Ibadan                                   2,910,000        180         466         16,200       6,200      W:B
160    Paraguay                     Asuncion                                 2,895,000        250         648         11,600       4,500      C:B
161    Venezuela                    Caracas                                  2,870,000        114         295         25,200       9,700      C:B
162    North Korea                  Pyongyang                                2,860,000          68        176         42,100      16,200      D:B
163    Burkina Faso                 Ouagadougou                              2,825,000        180         466         15,700       6,100      W:B
164    Ukraine                      Kiyev                                    2,800,000        150         389         18,700       7,200      C:B
165    Ecuador                      Guayaquil                                2,795,000        119         308         23,500       9,100      C:B
165    United States                Minneapolis-St. Paul, MN-WI              2,795,000       1,022      2,647          2,600       1,000      A:A
167    China                        Nanchang, JX                             2,790,000        265         686         10,500       4,100      C:B
168    Uzbekistan                   Tashkent                                 2,785,000        415       1,075          6,700       2,600      F:B
169    China                        Lanzhou, GS                              2,765,000        100         259         27,700      10,700      C:B
170    Nepal                        Kathmandu                                2,755,000          77        199         35,800      13,800      C:B
171    Azerbaijan                   Baku                                     2,725,000        435       1,127          6,300       2,400      C:B
172    India                        Nagpur, MH                               2,710,000          95        246         28,500      11,000      A:B
173    Haiti                        Port-au-Prince                           2,700,000        103         267         26,200      10,100      C:B
174    China                        Nanning, GX                              2,690,000        118         306         22,800       8,800      C:B
175    Brazil                       Campinas                                 2,685,000        360         932          7,500       2,900      C:B
175    Portugal                     Lisbon                                   2,685,000        370         958          7,300       2,800      C:B
177    Netherlands                  Rotterdam-Hague                          2,665,000        380         984          7,000       2,700      C:B
178    United Kingdom               Manchester                               2,660,000        243         630         10,500       4,100      A:A
178    United States                Tampa-St. Petersburg, FL                 2,660,000        957       2,479          2,600       1,000      A:A
178    Zambia                       Lusaka                                   2,660,000        121         313         22,000       8,500      C:B
181    Mozambique                   Maputo                                   2,655,000        160         414         16,600       6,400      C:B
181    Japan                        Fukuoka                                  2,645,000        215         557         12,300       4,700      C:B
183    Syria                        Damascus                                 2,605,000          70        181         37,200      14,400      D:B
184    United States                Denver, CO                               2,600,000        668       1,730          3,600       1,400      A:A
185    Pakistan                     Rawalpindi-Islamabad                     2,590,000        165         427         15,700       6,100      D:B
186    Brazil                       Brasilia                                 2,585,000        260         673          9,900       3,800      C:B
187    Philippines                  Cebu                                     2,580,000          80        207         32,300      12,500      C:B
188    India                        Coimbatore, TN                           2,570,000        110         285         23,400       9,000      A:B
189    China: Taiwan                Kaohsiung                                2,540,000        140         363         18,100       7,000      C:B
190    United Kingdom               Birmingham                               2,530,000        231         599         10,600       4,100      A:A
191    China                        Linyi, SD                                2,520,000        350         907          7,200       2,800      C:B
191    China: Taiwan                Taichung                                 2,520,000        190         492         13,300       5,100      C:B
191    Madagascar                   Antananarivo                             2,520,000          85        220         29,600      11,400      C:B
194    Hungary                      Budapest                                 2,500,000        375         971          6,700       2,600      C:B
195    India                        Kozhikode, KL                            2,495,000          46        119         54,200      20,900      A:B
196    Jordan                       Amman                                    2,480,000        133         344         18,600       7,200      C:B
197    India                        Indore, MP                               2,470,000        105         272         23,500       9,100      A:B
198    China                        Shantou, GD                              2,460,000        140         363         17,600       6,800      C:B
199    Colombia                     Cali                                     2,455,000          69        179         35,600      13,700      C:B
200    India                        Kochi, KL                                2,440,000        170         440         14,400       5,500      A:B
200    Uganda                       Kampala                                  2,440,000        290         751          8,400       3,200      C:B
202    China                        Shaoxing, ZJ                             2,435,000        185         479         13,200       5,100      C:B
202    Iran                         Esfahan                                  2,435,000        135         350         18,000       7,000      C:B
204    China                        Chaoyang (Shantou,) GD                   2,430,000        105         272         23,100       8,900      C:B
205    China                        Huai'an, JS                              2,400,000          57        148         42,100      16,300      C:B
206    China                        Tangshan, HEB                            2,395,000        140         363         17,100       6,600      C:B
205    Japan                        Sapporo                                  2,395,000        225         583         10,600       4,100      C:B
208    Guatemala                    Guatemala City                           2,390,000        150         389         15,900       6,200      C:B
209    South Korea                  Daegu                                    2,380,000          95        246         25,100       9,700      C:B
210    Ecuador                      Quito                                    2,365,000        207         536         11,400       4,400      C:B
211    India                        Thrissur, KL                             2,345,000        140         363         16,800       6,500      A:B
212    China                        Baotou, NM                               2,315,000        210         544         11,000       4,300      C:B
213    Canada                       Vancouver, BC                            2,310,000        444       1,150          4,800       1,900      A:A
214    China                        Hohhot, NM                               2,295,000        180         466         12,800       4,900      C:B
215    United States                Baltimore, MD                            2,275,000        717       1,857          3,100       1,200      A:A
216    Poland                       Warsaw                                   2,270,000        210         544         10,800       4,200      C:B
217    Somalia                      Mogadishu                                2,265,000          35         91         64,700      25,000      D:B
218    United States                Las Vegas, NV                            2,255,000        417       1,080          4,500       1,700      A:A
219    Philippines                  Davao City                               2,245,000          50        130         44,900      17,300      C:B
220    India                        Patna, BR                                2,240,000          55        142         40,700      15,700      A:B
220    Tunisia                      Tunis                                    2,240,000        170         440         13,200       5,100      C:B
222    India                        Malappuram, KL                           2,225,000        125         324         17,800       6,900      A:B
222    Lebanon                      Beirut                                   2,225,000        260         673          8,600       3,300      D:B
224    Zimbabwe                     Harare                                   2,220,000        320         829          6,900       2,700      C:B
225    Pakistan                     Gujranwala                               2,195,000          57        148         38,500      14,900      D:B
225    Sri Lanka                    Colombo                                  2,195,000          86        223         25,500       9,900      C:B
225    United States                St. Louis, MO-IL                         2,195,000        924       2,393          2,300         900      A:A
228    Bolivia                      Santa Cruz                               2,190,000        230         596          9,500       3,700      C:B
229    Poland                       Katowice-Gliwice-Tychy                   2,180,000        260         673          8,400       3,200      C:B
230    India                        Kannur, KL                               2,160,000          35         91         61,700      23,800      A:B
231    Brazil                       Goiania                                  2,155,000        270         699          8,000       3,100      C:B
232    US: Puerto Rico              San Juan                                 2,135,000        867       2,246          2,500       1,000      A:A
233    India                        Bhopal, MP                               2,125,000          70        181         30,400      11,700      A:B
233    Mexico                       Puebla                                   2,125,000        170         440         12,500       4,800      C:B
233    United States                Orlando, FL                              2,125,000        790       2,046          2,400       1,000      N:N
236    Germany                      Cologne-Bonn                             2,115,000        360         932          5,900       2,300      C:B
236    Romania                      Bucharest                                2,115,000        159         412         13,300       5,100      C:B
238    Belgium                      Brussels                                 2,105,000        310         803          6,800       2,600      C:B
239    Germany                      Hamburg                                  2,095,000        300         777          7,000       2,700      C:B
240    Congo (Dem. Rep.)            Mbuji-Mayi                               2,090,000          47        122         44,500      17,200      D:B
241    Congo (Dem. Rep.)            Lubumbashi                               2,080,000          60        155         34,700      13,400      D:B
242    China                        Haikou, HA                               2,065,000        120         311         17,200       6,600      C:B
242    Venezuela                    Maracaibo                                2,065,000        157         407         13,200       5,100      C:B
244    Australia                    Brisbane, QLD                            2,030,000        761       1,972          2,500       1,000      A:A
244    Cuba                         Havana                                   2,030,000        120         311         16,900       6,500      C:B
246    United States                San Antonio, TX                          2,025,000        597       1,546          2,900       1,100      A:A
247    Brazil                       Belem                                    2,005,000        100         259         20,100       7,700      C:B
248    China                        Luoyang, HEN                             2,000,000          85        220         23,500       9,100      C:B
248    Germany                      Munich                                   2,000,000        180         466         11,100       4,300      C:B
248    India                        Vadodara, GJ                             2,000,000          53        137         37,700      14,600      A:B
248    United States                Portland, OR-WA                          2,000,000        524       1,357          3,500       1,400      A:A
252    India                        Agra, UP                                 1,990,000          50        130         39,800      15,400      A:B
251    Nigeria                      Uyo                                      1,990,000        281         729          7,100       2,700     W:W
254    India                        Thiruvananthapuram, KL                   1,985,000          55        142         36,100      13,900      A:B
255    Belarus                      Minsk                                    1,980,000        165         427         12,000       4,600      C:B
256    Pakistan                     Multan                                   1,950,000          80        207         24,400       9,400      D:B
257    Mexico                       Toluca                                   1,940,000        165         427         11,800       4,500      C:B
258    Bolivia                      La Paz                                   1,935,000        105         272         18,400       7,100      C:B
258    Brazil                       Manaus                                   1,935,000        125         324         15,500       6,000      C:B
258    Iran                         Shiraz                                   1,935,000          95        246         20,400       7,900      C:B
261    Germany                      Frankfurt                                1,930,000        250         648          7,700       3,000      C:B
262    United Kingdom               Leeds-Bradford                           1,925,000        188         488          9,400       3,600      A:A
263    United States                Sacramento, CA                           1,920,000        471       1,220          3,700       1,400      A:A
264    Congo                        Brazzaville                              1,915,000          70        181         27,400      10,600      D:B
265    China                        Kunshan (Suzhou), JS                     1,890,000        215         557          8,800       3,400      C:B
265    Turkey                       Bursa                                    1,890,000          80        207         23,600       9,100      C:B
267    Morocco                      Rabat                                    1,880,000          71        184         26,500      10,200      C:B
268    Nigeria                      Port Harcourt                            1,865,000          61        158         30,600      11,800      W:B
269    Cambodia                     Phnom Penh                               1,860,000          85        220         21,900       8,400      C:B
270    China                        Huizhou, GD                              1,845,000          80        207         23,100       8,900      C:B
271    Indonesia                    Yogyakarta                               1,835,000          90        233         20,400       7,900      C:B
272    China                        Handan, HEB                              1,820,000        170         440         10,700       4,100      C:B
273    India                        Visakhapatnam, AP                        1,810,000        121         313         15,000       5,800      C:B
274    India                        Nashik, MH                               1,800,000          43        111         41,900      16,200      A:B
275    Australia                    Perth, WA                                1,785,000        605       1,566          2,700       1,000      A:A
275    Pakistan                     Peshawar                                 1,785,000          45        117         39,700      15,300      D:B
275    United States                Cleveland, OH                            1,785,000        772       1,999          2,300         900      A:A
278    Austria                      Vienna                                   1,775,000        175         453         10,100       3,900      C:B
278    India                        Vijayawada, AP                           1,775,000          22         57         80,700      31,200      A:B
280    China                        Yiwu (Jinhua), ZJ                        1,770,000          90        233         19,700       7,600      C:B
280    Colombia                     Barranquilla                             1,770,000          69        179         25,700       9,900      C:B
282    China                        Datong, SAX                              1,750,000          70        181         25,000       9,700      C:B
281    Japan                        Kitakyushu                               1,745,000        230         596          7,600       2,900      C:B
284    India                        Ludhiana, PB                             1,740,000          65        168         26,800      10,300      A:B
284    Nigeria                      Nsukka                                   1,735,000        249         645          7,000       2,700     W:W
285    Togo                         Lome                                     1,735,000          80        207         21,700       8,400      W:B
287    Iraq                         Mosul                                    1,730,000          54        140         32,000      12,400      D:B
287    Malaysia                     Johor Bahru                              1,730,000        275         712          6,300       2,400      C:B
287    United States                Pittsburgh, PA                           1,730,000        905       2,344          1,900         700      A:A
290    Costa Rica                   San Jose                                 1,720,000        160         414         10,800       4,200      C:B
291    Iran                         Tabriz                                   1,715,000          65        168         26,400      10,200      C:B
292    China                        Yinchuan, NX                             1,710,000        132         342         13,000       5,000      C:B
293    Syria                        Hims                                     1,705,000          32         83         53,300      20,600      D:B
294    United Arab Emirates         Abu Dhabi                                1,695,000        310         803          5,500       2,100      L:B
294    United States                Cincinnati, OH-KY-IN                     1,695,000        788       2,041          2,100         800      A:A
296    Guinea                       Conakry                                  1,685,000          62        161         27,200      10,500      W:B
296    Saudi Arabia                 Mecca                                    1,685,000        150         389         11,200       4,300      C:B
298    United States                Austin, TX                               1,675,000        523       1,355          2,600       1,000      A:A
299    Brazil                       Santos                                   1,670,000        115         298         14,500       5,600      C:B
299    China                        Zibo, SD                                 1,670,000        135         350         12,400       4,800      C:B
301    China                        Jilin, JL                                1,650,000          75        194         22,000       8,500      C:B
301    China                        Weifang, SD                              1,650,000          95        246         17,400       6,700      C:B
301    Indonesia                    Semarang                                 1,650,000        105         272         15,700       6,100      D:B
304    United States                Indianapolis, IN                         1,645,000        706       1,829          2,100         800      A:A
305    France                       Lyon                                     1,635,000        455       1,178          3,600       1,400      C:B
305    Netherlands                  Amsterdam                                1,635,000        195         505          8,400       3,200      C:B
307    China                        Taizhou, ZJ                              1,630,000          90        233         18,100       7,000      C:B
308    Qatar                        Doha                                     1,620,000        225         583          7,200       2,800      C:B
309    China                        Liuzhou, GX                              1,615,000          80        207         20,200       7,800      C:B
309    India                        Madurai, TN                              1,615,000          29         75         55,700      21,500      A:B
309    India                        Rajkot, GJ                               1,615,000          29         75         55,700      21,500      A:B
309    Philippines                  General Santos                           1,615,000          29         75         55,700      21,500      C:B
309    South Korea                  Gwangju                                  1,615,000          49        127         33,000      12,700      D:B
314    France                       Marseille                                1,610,000        266         689          6,100       2,300      C:B
314    United States                Kansas City, MO-KS                       1,610,000        678       1,756          2,200         900      A:A
316    United States                Charlotte, NC-SC                         1,600,000        741       1,919          1,700         700      A:A
317    Argentina                    Cordoba                                  1,595,000        140         363         11,400       4,400      C:B
317    China                        Yangzhou, JS                             1,595,000          90        233         17,700       6,800      C:B
317    Mexico                       Leon                                     1,595,000        140         363         11,400       4,400      C:B
317    Ukraine                      Kharkov                                  1,595,000        152         394         10,500       4,100      C:B
321    China                        Zhuhai, GD                               1,585,000        105         272         15,100       5,800      C:B
322    China                        Cixi (Ningbo), ZJ                        1,580,000        185         479          8,500       3,300      C:B
322    Nigeria                      Abuja                                    1,580,000          87        225         18,200       7,000      W:B
324    South Korea                  Daejon                                   1,575,000          51        132         30,900      11,900      C:B
325    China                        Yantai, SD                               1,570,000        101         262         15,500       6,000      C:B
325    India                        Meerut, UP                               1,570,000          40        104         39,300      15,200      A:B
325    Spain                        Valencia                                 1,570,000        105         272         15,000       5,800      C:B
328    India                        Varanasi, UP                             1,565,000          39        101         40,100      15,500      A:B
329    China                        Putian, FJ                               1,540,000        175         453          8,800       3,400      C:B
330    China                        Anshan, LN                               1,530,000        140         363         10,900       4,200      C:B
330    Panama                       Panama City                              1,530,000          85        220         18,000       6,900      C:B
332    China                        Wuhu, AH                                 1,525,000          62        161         24,600       9,500      C:B
332    El Salvador                  San Salvador                             1,525,000          80        207         19,100       7,400      C:B
332    Italy                        Turin                                    1,525,000        145         376         10,500       4,100      C:B
335    Indonesia                    Makassar                                 1,520,000          69        179         22,000       8,500      C:B
336    Sweden                       Stockholm                                1,510,000        147         382          9,300       3,600      A:A
337    China                        Daqing, HL                               1,505,000        145         376         10,400       4,000      C:B
337    United States                Columbus, OH                             1,505,000        510       1,321          2,700       1,000      A:A
339    Venezuela                    Valencia                                 1,495,000        140         363         10,700       4,100      C:B
340    Russia                       Novosibirsk                              1,490,000        240         622          6,200       2,400      C:B
341    Kazakhstan                   Almaty                                   1,485,000        205         531          7,200       2,800      C:B
342    Portugal                     Porto                                    1,480,000        300         777          4,900       1,900      C:B
343    India                        Jamshedpur, JH                           1,470,000          42        109         35,000      13,500      A:B
344    United States                Virginia Beach-Norfolk, VA               1,465,000        515       1,334          2,800       1,100      A:A
345    China                        Zhangzhou, FJ                            1,455,000        135         350         10,800       4,200      C:B
346    India                        Srinagar, JK                             1,445,000          49        127         29,500      11,400      A:B
346    Liberia                      Monrovia                                 1,445,000          75        194         19,300       7,400      W:B
348    Indonesia                    Palembang                                1,440,000          85        220         16,900       6,500      C:B
349    Niger                        Niamey                                   1,435,000          50        130         28,700      11,100      W:B
349    Turkey                       Gaziantep                                1,435,000          44        114         32,600      12,600      C:B
351    China                        Huangshi, HUB                            1,420,000        102         264         13,900       5,400      C:B
351    China                        Jiangmen, GD                             1,420,000        135         350         10,500       4,100      C:B
351    India                        Kollam, KL                               1,420,000          70        181         20,300       7,800      A:B
354    United States                Milwaukee, WI                            1,415,000        546       1,414          2,500       1,000      A:A
355    Bahrain                      Al-Manamah                               1,410,000        150         389          9,400       3,600      C:B
355    Mexico                       Tijuana                                  1,410,000        180         466          7,800       3,000      C:B
357    China                        Changshu (Suzhou), JS                    1,405,000        124         321         11,300       4,400      C:B
